Drug Name | Rating | Number of Reviews | Availability | Drug Classes | Primary Use
Abilify  | 6.0  | 1119  | Prescription only  | Atypical antipsychotics  | schizophrenia
Abilify Maintena  | 6.1  | 52  | Prescription only  | Atypical antipsychotics  | schizophrenia
Abiraterone  | 8.3  | 38  | Prescription only  | Miscellaneous antineoplastics  | prostate cancer
Acetaminophen  | 6.2  | 97  | Rx and/or OTC  | Miscellaneous analgesics  | arthritis
Acetylcysteine  | 7.2  | 28  | Rx and/or OTC  | Antidotes  | acetaminophen overdose
Actos  | 4.9  | 40  | Prescription only  | Thiazolidinediones  | type 2 diabetes mellitus
Adderall XR  | 8.0  | 226  | Prescription only  | CNS stimulants  | nerves
Advair  | 7.2  | 109  | Prescription only  | Bronchodilator combinations  | asthma
Advair Diskus  | 7.2  | 109  | Prescription only  | Bronchodilator combinations  | asthma
Advil  | 6.8  | 40  | Rx and/or OTC  | Nonsteroidal anti-inflammatory drugs  | headache
Afinitor  | 5.4  | 20  | Prescription only  | MTOR inhibitors  | kidney cancer
Aimovig  | 4.9  | 571  | Prescription only  | CGRP inhibitors  | migraine
Ajovy  | 5.1  | 258  | Prescription only  | CGRP inhibitors  | migraine
Alendronate  | 2.3  | 153  | Prescription only  | Bisphosphonates  | osteoporosis
Aleve  | 7.0  | 149  | Rx and/or OTC  | Nonsteroidal anti-inflammatory drugs  | arthritis
Allopurinol  | 7.4  | 83  | Prescription only  | Antigout agents  | gout
Alprazolam  | 8.7  | 1418  | Prescription only  | Benzodiazepines  | anxiety disorders
Amantadine  | 6.8  | 48  | Prescription only  | Adamantane antivirals  | Parkinson's disease
Ambien  | 7.0  | 549  | Prescription only  | Miscellaneous anxiolytics, sedatives and hypnotics  | insomnia
Amiodarone  | 4.8  | 89  | Prescription only  | Group III antiarrhythmics  | ventricular tachycardia
Amitriptyline  | 7.5  | 1670  | Prescription only  | Tricyclic antidepressants  | depression
